Token.Sent,awareness,change_of_location,change_of_possession,change_of_state,change_of_state_continuous,existed_after,existed_before,existed_during,instigation,partitive,sentient,volition,was_for_benefit,was_used
advise.1473,1.0,0.5,0.125,0.125,0.0,1.0,1.0,1.0,0.875,0.0,1.0,1.0,0.125,1.0
advise.1477,1.0,0.25,0.25,0.375,0.375,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,1.0
affirm.415,1.0,0.625,0.375,0.125,0.0,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,1.0
affirm.6055,1.0,0.5,0.0,0.25,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0
affirm.6060,1.0,0.5,0.0,0.25,0.0,1.0,1.0,1.0,1.0,0.375,1.0,1.0,0.875,1.0
agree.6425,1.0,0.5,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.375,1.0,1.0,0.625,0.5
agree.6427,0.375,0.125,0.0,0.375,0.375,0.5,0.5,1.0,0.5,0.125,0.0,0.5,0.5,1.0
agree.6886,1.0,0.125,0.125,0.5,0.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.75,1.0
agree.7358,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,1.0
agree.9319,1.0,0.5,0.0,0.75,0.75,1.0,1.0,1.0,0.875,0.625,0.875,1.0,0.875,1.0
agree.947,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5
allege.164,1.0,0.375,0.0,0.375,0.375,1.0,1.0,1.0,1.0,0.375,1.0,1.0,0.375,1.0
allege.5105,1.0,0.5,0.125,0.375,0.0,1.0,0.875,1.0,0.5,0.75,1.0,1.0,0.5,1.0
allow.10830,0.0,0.375,0.375,0.25,0.0,1.0,1.0,1.0,0.0,0.625,0.0,0.0,0.375,0.875
amaze.10607,0.0,0.25,0.0,0.125,0.0,0.75,1.0,1.0,1.0,0.75,0.0,0.0,0.0,1.0
amend.3620,0.375,0.125,0.25,0.25,0.0,0.875,0.125,1.0,0.5,0.5,0.125,0.5,0.875,1.0
announce.12,1.0,0.375,0.125,0.5,0.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,0.5,0.5
apologize.5086,1.0,0.875,0.0,0.5,0.375,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.75,1.0
appear.1487,0.5,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.125,0.5,1.0
appear.1811,0.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.375,0.0,0.0,0.5,0.5
appear.406,0.125,0.625,0.625,0.25,0.0,1.0,0.625,1.0,1.0,0.125,0.125,0.125,0.875,0.625
appear.5782,0.0,0.125,0.25,0.25,0.0,0.875,0.125,1.0,0.875,0.25,0.0,0.0,0.125,0.75
appear.6362,0.75,0.25,0.0,0.375,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.75,0.5,0.5
appear.7844,0.875,0.625,0.125,0.625,0.375,1.0,1.0,1.0,0.625,0.625,1.0,0.75,0.5,0.875
appreciate.10643,1.0,0.625,0.0,0.625,0.375,1.0,1.0,1.0,0.75,0.625,1.0,1.0,0.75,1.0
appreciate.1649,1.0,0.5,0.125,0.625,0.375,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.375,0.5
appreciate.3491,0.125,0.25,0.125,0.625,0.375,1.0,1.0,1.0,0.625,0.5,0.0,0.125,0.5,0.875
approach.2340,1.0,0.875,0.25,0.5,0.375,1.0,1.0,1.0,1.0,0.625,1.0,1.0,0.375,1.0
approve.2343,1.0,0.0,0.0,0.375,0.375,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.625,1.0
approve.5818,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,0.5,1.0
argue.1380,1.0,0.5,0.25,0.25,0.0,1.0,1.0,1.0,1.0,0.625,0.875,1.0,0.625,1.0
argue.1511,1.0,0.25,0.0,0.5,0.5,1.0,1.0,1.0,0.875,0.0,1.0,1.0,0.875,1.0
arrive.10748,0.875,0.875,0.625,0.375,0.0,1.0,0.75,1.0,0.75,0.625,0.875,0.875,0.5,0.875
arrive.11348,1.0,1.0,0.0,0.25,0.0,1.0,1.0,1.0,0.875,0.0,0.875,1.0,0.75,0.5
arrive.4759,0.0,1.0,0.25,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0
ask.10404,1.0,0.25,0.5,0.875,0.875,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0
ask.10595,1.0,0.25,0.0,0.375,0.375,1.0,1.0,1.0,1.0,0.625,1.0,1.0,0.875,0.875
ask.11522,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ask.11594,1.0,0.5,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.625,1.0
ask.11805,1.0,0.5,0.5,0.25,0.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.625,0.375
ask.12183,1.0,0.0,0.0,0.125,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5
ask.12191,1.0,0.125,0.0,0.125,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ask.12227,1.0,0.125,0.125,0.625,0.375,1.0,1.0,1.0,0.625,0.125,0.875,1.0,0.625,1.0
ask.174,1.0,0.25,0.0,0.25,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,0.0
ask.178,1.0,0.625,0.5,0.375,0.375,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
ask.179,0.875,0.125,0.125,0.75,0.75,1.0,1.0,1.0,0.875,0.25,1.0,1.0,0.75,1.0
ask.2367,1.0,0.375,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.5
ask.3560,1.0,0.375,0.125,0.5,0.375,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,0.5
ask.375,1.0,0.375,0.0,0.125,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ask.4504,1.0,0.375,0.125,0.375,0.0,1.0,1.0,1.0,0.875,0.875,1.0,0.875,0.875,1.0
ask.4645,1.0,0.25,0.0,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ask.7815,1.0,0.125,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.875,1.0
aspire.9523,1.0,0.25,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,0.875,1.0
assume.2844,0.875,0.25,0.0,0.25,0.0,1.0,1.0,1.0,0.875,0.375,1.0,0.875,0.625,0.875
assume.4411,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.875,0.0,1.0,0.75,0.875,1.0
assume.4548,1.0,0.5,0.0,0.25,0.0,1.0,1.0,1.0,0.875,0.5,1.0,1.0,0.75,1.0
assume.6439,0.875,0.5,0.25,0.625,0.375,1.0,1.0,1.0,0.75,0.25,1.0,1.0,0.5,1.0
assure.5745,1.0,0.5,0.0,0.625,0.375,1.0,1.0,1.0,0.875,0.875,0.875,1.0,0.875,1.0
attach.11945,1.0,0.125,0.0,0.375,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.875,1.0
attempt.10897,1.0,0.0,0.0,0.125,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.875,1.0
attempt.11347,1.0,1.0,0.0,0.875,0.875,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
attempt.145,1.0,0.625,0.0,0.75,0.75,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
attend.10818,1.0,1.0,0.25,0.875,0.875,1.0,1.0,1.0,0.375,0.125,1.0,0.5,0.625,1.0
attend.9884,1.0,1.0,0.25,0.75,0.75,1.0,1.0,1.0,0.625,0.375,1.0,1.0,0.875,1.0
avoid.10272,1.0,0.375,0.0,0.5,0.375,1.0,1.0,1.0,1.0,0.125,1.0,1.0,0.375,0.5
await.3485,1.0,0.625,0.0,0.375,0.375,1.0,1.0,1.0,0.125,0.0,1.0,0.75,0.75,0.5
be.10009,0.25,0.375,0.5,0.375,0.0,0.75,0.75,0.5714285714285714,0.625,0.375,0.0,0.125,0.375,0.375
be.10069,0.375,0.375,0.375,0.375,0.0,0.375,0.375,0.2857142857142857,0.375,0.375,0.25,0.375,0.375,0.375
be.10123,0.625,0.375,0.0,0.25,0.0,1.0,1.0,1.0,0.875,0.125,1.0,0.875,0.875,0.875
be.10184,0.125,0.125,0.125,0.25,0.0,0.875,0.125,1.0,0.625,0.25,0.0,0.25,0.25,0.375
be.10211,0.0,0.125,0.0,0.25,0.0,0.75,0.25,0.7142857142857143,0.75,0.25,0.25,0.125,0.25,0.75
be.1029,0.125,0.375,0.375,0.5,0.375,0.625,0.625,1.0,0.75,0.0,0.0,0.125,0.75,1.0
be.10370,0.375,0.625,0.625,0.625,0.375,0.375,0.5,1.0,0.625,0.625,0.0,0.375,0.125,0.375
be.10393,0.0,0.25,0.375,0.375,0.0,0.625,0.875,1.0,0.625,0.125,0.0,0.0,0.0,0.75
be.1042,1.0,0.125,0.125,0.125,0.0,1.0,1.0,1.0,0.375,0.5,1.0,0.5,0.5,1.0
be.10473,0.0,0.0,0.0,0.25,0.0,0.625,0.0,1.0,0.375,0.375,0.0,0.0,0.25,0.0
be.10613,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.25,0.0,0.0,0.0,1.0
be.10707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.5
be.10781,0.75,0.125,0.125,0.375,0.0,1.0,0.875,1.0,0.875,0.75,0.25,0.5,0.25,0.75
be.10811,1.0,0.375,0.125,0.5,0.0,1.0,1.0,1.0,0.875,1.0,1.0,0.875,0.375,1.0
be.10819,0.5,0.5,0.375,0.625,0.5,1.0,0.5,0.8571428571428571,1.0,0.875,0.5,0.375,0.375,0.875
be.10873,0.0,0.125,0.125,0.125,0.0,0.625,0.625,1.0,0.5,0.125,0.0,0.0,0.25,0.875
be.10922,0.0,0.125,0.0,0.25,0.0,0.25,0.25,0.14285714285714285,0.125,0.375,0.0,0.0,0.25,0.375
be.11018,1.0,0.875,0.125,0.5,0.0,0.875,0.875,1.0,1.0,0.25,0.875,0.875,0.5,1.0
be.1117,0.5,0.625,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.625,0.5,0.125,0.25,1.0
be.1126,0.0,0.125,0.125,0.5,0.0,0.625,0.375,1.0,0.875,0.125,0.0,0.0,0.125,0.875
be.11392,0.0,0.125,0.125,0.125,0.0,1.0,0.375,1.0,1.0,0.125,0.0,0.125,0.125,0.875
be.1140,0.125,0.125,0.125,0.375,0.0,0.625,0.375,0.8571428571428571,0.375,0.375,0.0,0.125,0.125,0.125
be.11486,1.0,0.375,0.125,0.375,0.375,0.875,0.875,0.8571428571428571,1.0,0.875,0.875,0.875,1.0,0.875
be.11497,0.125,0.125,0.125,0.25,0.0,0.5,0.5,0.5714285714285714,0.5,0.125,0.5,0.125,0.125,0.25
be.11560,0.125,0.125,0.125,0.375,0.0,0.625,0.625,0.5714285714285714,0.5,0.125,0.0,0.25,0.375,0.5
be.11567,0.0,0.0,0.0,0.375,0.0,0.875,0.375,1.0,1.0,0.25,0.375,0.0,0.125,0.5
be.11573,1.0,0.375,0.0,0.125,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.25,0.875
be.11576,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.0,0.5,0.0,0.0,0.0,0.0,0.5
be.11681,0.375,0.375,0.375,0.125,0.0,0.5,0.5,0.42857142857142855,0.375,0.125,0.125,0.375,0.375,0.375
be.11711,0.0,0.0,0.0,0.375,0.0,0.5,0.375,1.0,0.625,0.125,0.0,0.125,0.25,0.875
be.11716,0.0,0.0,0.375,0.75,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5
be.11769,0.0,0.0,0.0,0.375,0.0,0.375,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.25
be.11780,0.0,0.25,0.125,0.375,0.375,0.25,0.125,1.0,0.5,0.0,0.0,0.0,0.375,0.875
be.11824,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.25,0.25,0.25,0.5
be.11863,0.0,0.0,0.0,0.0,0.0,0.625,0.125,1.0,0.75,0.0,0.0,0.0,0.0,0.375
be.1187,0.875,0.75,0.125,0.75,0.5,0.5,0.5,1.0,0.625,0.5,1.0,0.125,0.375,0.875
be.11936,1.0,0.5,0.75,0.625,0.375,1.0,1.0,1.0,1.0,0.375,1.0,1.0,0.875,0.75
be.11972,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
be.11974,0.625,0.375,0.375,0.625,0.5,0.125,0.125,0.5714285714285714,0.375,0.125,0.125,0.625,0.375,0.625
be.12024,0.0,0.25,0.25,0.75,0.5,1.0,0.5,1.0,1.0,0.625,0.0,0.0,0.25,1.0
be.12064,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.875
be.12125,0.0,0.25,0.25,0.25,0.0,0.875,0.75,1.0,0.875,0.375,0.5,0.0,0.625,0.625
be.12166,1.0,0.875,0.25,0.25,0.0,0.5,0.5,1.0,0.5,0.125,0.875,0.375,0.25,0.5
be.12232,0.375,0.125,0.125,0.125,0.0,0.625,0.625,0.5714285714285714,0.125,0.125,0.625,0.375,0.375,0.125
be.12247,0.0,0.25,0.25,0.25,0.0,0.875,0.875,0.8571428571428571,0.125,0.375,0.0,0.0,0.375,0.375
be.12303,0.0,0.125,0.125,0.375,0.0,0.375,0.125,1.0,0.375,0.125,0.0,0.0,0.125,0.75
be.1233,0.375,0.375,0.375,0.75,0.75,0.75,0.5,1.0,0.5,0.75,0.375,0.375,0.125,0.625
be.1234,0.0,0.125,0.0,0.125,0.0,1.0,1.0,1.0,0.375,0.375,0.375,0.0,0.375,0.875
be.12471,0.125,0.125,0.25,0.625,0.375,0.5,0.75,1.0,0.375,0.125,0.125,0.0,0.0,0.0
be.12472,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.875,0.5,0.0,0.0,0.5,0.875
be.1248,0.125,0.375,0.125,0.375,0.0,0.875,0.375,0.8571428571428571,0.125,0.375,0.125,0.125,0.125,0.625
be.12482,0.0,0.75,1.0,0.5,0.5,0.0,0.375,1.0,0.5,0.0,0.0,0.0,0.0,1.0
be.1263,0.0,0.0,0.0,0.25,0.0,0.5,0.5,0.42857142857142855,0.0,0.5,0.0,0.0,0.125,0.5
be.1287,0.0,0.25,0.0,0.25,0.0,0.75,0.5,1.0,1.0,0.125,0.0,0.0,0.25,1.0
be.1292,0.0,0.125,0.125,0.375,0.0,0.625,0.25,1.0,0.5,0.5,0.0,0.0,0.25,0.5
be.1293,0.125,0.375,0.375,0.75,0.375,0.625,0.75,0.8571428571428571,0.75,0.125,0.0,0.125,0.125,0.75
be.132,0.125,0.25,0.25,0.25,0.0,0.25,0.25,0.42857142857142855,0.25,0.25,0.125,0.25,0.125,0.25
be.1354,0.125,0.375,0.375,0.375,0.0,0.625,0.75,1.0,0.75,0.25,0.375,0.375,0.25,0.875
be.1355,0.625,0.875,0.375,0.875,0.625,0.875,0.875,0.8571428571428571,0.625,0.875,0.875,0.625,0.875,0.875
be.1378,0.5,0.375,0.375,0.375,0.375,0.375,0.5,0.8571428571428571,0.5,0.125,0.125,0.375,0.5,0.375
be.1401,0.125,0.125,0.125,0.375,0.0,0.875,0.125,0.5714285714285714,0.125,0.125,0.125,0.125,0.125,0.625
be.1425,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
be.1430,0.0,0.125,0.125,0.125,0.0,0.625,0.625,0.5714285714285714,0.125,0.875,0.0,0.0,0.125,0.625
be.1431,0.0,0.75,0.5,0.375,0.0,0.125,0.5,1.0,0.5,0.0,0.5,0.0,0.0,1.0
be.1449,0.0,0.875,0.25,0.125,0.0,1.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0
be.1469,1.0,1.0,0.125,0.75,0.75,1.0,1.0,1.0,0.75,0.625,0.875,1.0,0.875,1.0
be.1518,0.5,0.125,0.125,0.75,0.75,0.5,0.375,1.0,0.875,0.125,0.5,0.5,0.125,0.875
be.1527,0.375,0.125,0.125,0.375,0.375,0.125,0.125,0.2857142857142857,0.375,0.375,0.375,0.375,0.375,0.375
be.1529,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5
be.1530,0.0,0.0,0.0,0.125,0.0,0.625,0.375,1.0,0.75,0.0,0.5,0.0,0.0,0.5
be.163,0.0,0.0,0.125,0.25,0.0,0.25,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5
be.165,0.25,0.25,0.25,0.5,0.0,0.25,0.125,1.0,0.625,0.375,0.0,0.25,0.0,0.25
be.1706,0.0,0.25,0.125,0.375,0.375,0.25,0.5,0.42857142857142855,0.5,0.375,0.125,0.0,0.125,0.5
be.1716,0.0,0.0,0.0,0.375,0.375,0.0,0.0,1.0,0.5,0.375,0.0,0.0,0.125,0.875
be.1726,0.0,0.125,0.0,0.125,0.0,1.0,0.375,1.0,0.5,0.25,0.375,0.0,0.0,0.375
be.1809,0.0,0.375,0.625,0.5,0.5,0.125,0.125,0.5714285714285714,0.625,0.125,0.0,0.0,0.125,0.625
be.1872,0.0,0.0,0.25,0.375,0.0,0.875,0.625,1.0,0.75,0.25,0.375,0.0,0.375,0.75
be.200,0.125,0.25,0.25,0.25,0.0,0.625,0.5,0.5714285714285714,0.375,0.375,0.0,0.25,0.25,0.125
be.202,0.375,0.125,0.0,0.375,0.375,1.0,0.875,1.0,0.875,0.5,0.5,0.0,0.625,0.875
be.2118,0.125,0.125,0.125,0.5,0.0,0.375,0.375,0.2857142857142857,0.125,0.125,0.125,0.0,0.125,0.375
be.2122,0.5,0.125,0.125,0.5,0.375,0.5,0.375,1.0,0.75,0.375,0.375,0.0,0.375,0.375
be.2174,0.0,0.0,0.0,0.0,0.0,0.875,0.75,1.0,0.75,0.25,0.0,0.0,0.5,0.375
be.2176,0.0,0.25,0.125,0.625,0.375,0.75,0.5,1.0,0.625,0.5,0.0,0.0,0.0,0.25
be.250,0.0,0.25,0.0,0.25,0.0,0.25,0.375,1.0,0.5,0.0,0.0,0.0,0.0,0.5
be.2702,0.5,0.75,0.125,0.25,0.0,0.875,0.625,0.8571428571428571,0.625,0.375,0.5,0.625,0.875,0.625
be.281,0.0,0.125,0.125,0.25,0.0,0.375,0.125,1.0,0.375,0.125,0.0,0.0,0.25,0.375
be.2813,0.0,0.0,0.375,1.0,1.0,0.875,0.25,0.8571428571428571,0.375,0.0,0.0,0.0,0.125,1.0
be.2898,0.0,0.0,0.0,0.25,0.0,0.75,0.25,0.8571428571428571,0.125,0.25,0.0,0.0,0.0,0.875
be.2902,0.0,0.125,0.125,0.5,0.375,0.625,0.5,1.0,0.75,0.5,0.0,0.0,0.5,0.5
be.2955,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0
be.2959,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5
be.298,0.0,0.0,0.0,0.125,0.0,0.875,0.5,0.8571428571428571,0.5,0.0,0.0,0.0,0.0,0.5
be.3058,0.0,0.0,0.0,0.125,0.0,0.5,0.25,0.42857142857142855,0.5,0.375,0.0,0.0,0.625,0.5
be.3151,0.375,0.0,0.375,0.0,0.0,0.5,0.5,1.0,0.375,0.375,0.0,0.0,0.375,0.875
be.3165,0.0,0.0,0.0,0.25,0.0,0.5,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.75
be.3186,0.0,0.0,0.0,0.375,0.375,1.0,0.0,1.0,0.375,0.125,0.0,0.0,0.0,0.75
be.319,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.875,0.0,0.0,0.0,0.25,0.875
be.3378,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5
be.3401,0.25,0.375,0.375,0.875,1.0,0.625,0.0,0.8571428571428571,0.375,0.375,0.0,0.625,0.625,0.375
be.3503,0.0,0.125,0.25,0.125,0.0,1.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0,0.625
be.3541,0.0,0.375,0.125,0.5,0.375,1.0,1.0,1.0,0.875,0.5,0.375,0.0,0.75,0.75
be.3677,0.0,0.0,0.0,0.375,0.375,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0
be.3818,0.5,0.25,0.25,0.375,0.0,0.5,0.5,0.5714285714285714,0.625,0.5,0.625,0.25,0.25,0.625
be.3829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.5
be.3838,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5
be.3963,0.25,0.125,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0
be.4069,0.0,0.25,0.625,0.125,0.0,0.875,0.75,0.8571428571428571,0.25,0.25,0.0,0.125,0.0,0.5
be.409,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.42857142857142855,0.5,0.5,0.0,0.0,0.5,0.5
be.4139,0.125,0.25,0.25,0.5,0.375,0.875,0.5,1.0,0.875,0.25,0.125,0.125,0.75,0.625
be.4144,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5
be.4201,0.0,0.125,0.125,0.375,0.0,0.75,0.5,1.0,0.5,0.375,0.0,0.0,0.375,1.0
be.4218,0.5,0.125,0.25,0.5,0.375,0.5,0.75,1.0,0.375,0.25,0.0,0.0,0.375,1.0
be.4234,0.0,0.0,0.125,0.5,0.375,1.0,1.0,1.0,0.875,0.5,0.375,0.0,0.625,0.625
be.4239,0.5,0.375,0.0,0.5,0.0,0.875,0.125,1.0,0.875,0.25,0.375,0.375,0.625,0.875
be.4327,1.0,0.125,0.0,0.375,0.0,1.0,0.5,1.0,0.875,0.5,1.0,1.0,0.875,0.875
be.4508,0.0,0.0,0.0,0.125,0.0,0.5,0.5,0.8571428571428571,0.875,0.25,0.0,0.0,0.25,0.875
be.46,0.5,0.75,0.125,0.25,0.0,0.75,0.75,1.0,0.875,0.25,0.5,0.5,0.625,0.375
be.4600,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.0,0.0,0.0,0.25,0.5
be.4702,0.0,0.125,0.25,0.375,0.0,0.875,0.75,0.7142857142857143,0.375,0.375,0.125,0.0,0.125,0.75
be.4707,0.0,0.375,0.125,0.375,0.125,0.375,0.375,0.8571428571428571,0.375,0.375,0.0,0.0,0.25,0.875
be.4761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.0
be.48,0.0,0.0,0.0,0.375,0.375,0.5,0.5,1.0,0.5,0.375,0.0,0.0,0.0,0.375
be.5081,0.0,0.0,0.0,0.375,0.375,0.75,0.125,1.0,1.0,0.0,0.0,0.0,0.25,0.75
be.5106,0.0,0.375,0.0,0.375,0.375,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
be.5171,0.5,0.25,0.25,0.375,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0
be.5188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5
be.52,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.5714285714285714,0.125,0.125,0.0,0.125,0.125,0.625
be.5415,0.25,0.25,0.25,0.25,0.0,0.75,0.5,0.7142857142857143,0.75,0.25,0.25,0.25,0.25,0.75
be.5427,0.125,0.125,0.125,0.375,0.0,0.625,0.625,0.5714285714285714,0.375,0.125,0.0,0.125,0.25,0.25
be.5456,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5
be.552,0.0,0.0,0.0,0.125,0.0,0.5,0.5,1.0,0.5,0.375,0.0,0.0,0.0,0.875
be.5620,0.125,0.125,0.125,0.375,0.0,0.875,0.75,1.0,0.75,0.25,0.375,0.0,0.5,0.75
be.5654,0.5,0.0,0.0,0.375,0.0,1.0,0.625,1.0,0.875,0.5,0.5,0.5,0.875,0.875
